Certification Course,Gender,Department,Height(CM),Weight(KG),10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,career_willing,social medai & video,Travelling Time,Stress Level,Financial Status,part-time job
No,Male,ENTC,176,70,67,64,76,Travelling,<1 hr,Morning,3-5 LPA,Yes,50%,<1 hr,30-60 min,Low,Middle,No
No,Male,CS,166,56,62,80,89,Reading,>4 hrs,Morning,5-8 LPA,Yes,25%,<1 hr,30-60 min,Medium,Poor,Yes
Yes,Female,Mechanical,150,88,79,77,71,Travelling,2-4 hrs,Morning,<3 LPA,Yes,100%,1-3 hrs,30-60 min,Low,Middle,No
No,Male,IT,158,80,72,74,71,Gaming,2-4 hrs,Night,3-5 LPA,No,25%,>5 hrs,30-60 min,Medium,Poor,Yes
Yes,Male,IT,182,62,56,89,75,Gaming,1-2 hrs,Evening,5-8 LPA,No,75%,>5 hrs,>2 hrs,Medium,Good,No
Yes,Male,Mechanical,170,65,84,59,81,Travelling,1-2 hrs,Morning,<3 LPA,Yes,50%,>5 hrs,<30 min,Medium,Good,No
No,Male,ENTC,178,80,86,56,85,Gaming,<1 hr,Morning,3-5 LPA,No,75%,1-3 hrs,1-2 hrs,Low,Good,Yes
Yes,Male,Mechanical,167,78,76,74,76,Travelling,2-4 hrs,Evening,<3 LPA,Yes,75%,<1 hr,<30 min,Medium,Good,Yes
Yes,Female,Mechanical,155,49,67,69,66,Music,1-2 hrs,Evening,3-5 LPA,No,50%,<1 hr,30-60 min,High,Middle,No
No,Male,Mechanical,170,45,80,61,78,Gaming,>4 hrs,Evening,>8 LPA,No,100%,<1 hr,1-2 hrs,Medium,Middle,Yes
No,Male,ENTC,184,61,63,79,89,Gaming,1-2 hrs,Night,<3 LPA,Yes,50%,3-5 hrs,<30 min,High,Good,No
Yes,Female,CS,177,71,85,81,73,Gaming,1-2 hrs,Night,5-8 LPA,No,75%,3-5 hrs,<30 min,Low,Middle,Yes
Yes,Female,CS,183,62,91,81,69,Sports,<1 hr,Evening,3-5 LPA,No,75%,>5 hrs,30-60 min,High,Middle,Yes
No,Male,CS,181,81,74,75,84,Music,2-4 hrs,Evening,3-5 LPA,No,75%,3-5 hrs,>2 hrs,Medium,Good,No
No,Male,Civil,152,65,78,86,85,Gaming,<1 hr,Night,5-8 LPA,Yes,50%,1-3 hrs,>2 hrs,High,Poor,No
No,Male,CS,163,59,62,82,82,Reading,2-4 hrs,Morning,<3 LPA,Yes,75%,<1 hr,1-2 hrs,Medium,Middle,Yes
Yes,Female,Civil,162,62,67,69,80,Sports,<1 hr,Morning,<3 LPA,Yes,75%,1-3 hrs,30-60 min,High,Middle,No
Yes,Male,ENTC,150,76,83,80,67,Travelling,>4 hrs,Evening,5-8 LPA,No,25%,3-5 hrs,<30 min,Low,Middle,Yes
Yes,Male,Mechanical,150,76,67,65,79,Travelling,1-2 hrs,Evening,5-8 LPA,Yes,75%,3-5 hrs,<30 min,Low,Good,No
Yes,Male,IT,184,74,84,72,79,Sports,2-4 hrs,Morning,3-5 LPA,No,50%,<1 hr,<30 min,Medium,Good,No
Yes,Male,ENTC,174,89,81,72,73,Sports,2-4 hrs,Night,5-8 LPA,Yes,25%,<1 hr,1-2 hrs,Medium,Good,No
Yes,Male,IT,173,67,68,68,73,Travelling,<1 hr,Night,<3 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Male,ENTC,172,46,75,53,70,Music,2-4 hrs,Morning,5-8 LPA,Yes,25%,<1 hr,<30 min,High,Good,Yes
No,Male,ENTC,169,82,87,67,78,Reading,1-2 hrs,Night,>8 LPA,Yes,100%,1-3 hrs,>2 hrs,Medium,Poor,Yes
No,Female,CS,181,57,85,68,78,Sports,<1 hr,Morning,3-5 LPA,Yes,100%,<1 hr,30-60 min,Low,Good,No
Yes,Male,CS,150,51,88,57,69,Reading,1-2 hrs,Evening,5-8 LPA,No,75%,<1 hr,30-60 min,Medium,Middle,No
Yes,Female,CS,163,60,76,73,65,Sports,1-2 hrs,Night,3-5 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Poor,Yes
Yes,Male,CS,174,52,75,55,69,Sports,<1 hr,Morning,3-5 LPA,Yes,75%,3-5 hrs,30-60 min,High,Good,No
Yes,Male,IT,178,48,67,56,71,Reading,2-4 hrs,Evening,5-8 LPA,Yes,25%,3-5 hrs,30-60 min,Medium,Middle,Yes
Yes,Male,Mechanical,176,70,77,89,77,Gaming,1-2 hrs,Night,5-8 LPA,Yes,50%,1-3 hrs,30-60 min,Medium,Middle,Yes
No,Female,CS,175,66,73,81,87,Sports,1-2 hrs,Evening,3-5 LPA,No,75%,3-5 hrs,30-60 min,Medium,Good,No
No,Male,Mechanical,173,63,85,57,71,Reading,1-2 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,<30 min,Low,Middle,Yes
Yes,Male,CS,172,56,68,73,60,Sports,>4 hrs,Night,<3 LPA,No,75%,<1 hr,1-2 hrs,High,Poor,Yes
Yes,Male,Mechanical,174,53,69,73,65,Gaming,1-2 hrs,Evening,<3 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Good,Yes
No,Male,CS,154,45,70,54,62,Gaming,<1 hr,Evening,<3 LPA,Yes,75%,<1 hr,<30 min,High,Middle,No
Yes,Female,Mechanical,182,75,71,83,72,Reading,1-2 hrs,Night,<3 LPA,No,100%,<1 hr,1-2 hrs,Low,Middle,Yes
No,Male,CS,168,82,91,73,61,Reading,1-2 hrs,Morning,>8 LPA,No,100%,<1 hr,1-2 hrs,Low,Middle,Yes
Yes,Male,Mechanical,165,51,88,65,89,Music,2-4 hrs,Evening,3-5 LPA,Yes,50%,3-5 hrs,>2 hrs,Medium,Middle,No
Yes,Female,CS,186,67,70,66,69,Gaming,<1 hr,Evening,5-8 LPA,Yes,75%,1-3 hrs,1-2 hrs,Medium,Poor,No
Yes,Female,IT,163,65,86,81,73,Reading,1-2 hrs,Morning,>8 LPA,Yes,50%,<1 hr,1-2 hrs,High,Middle,Yes
No,Male,ENTC,182,83,75,81,73,Reading,2-4 hrs,Morning,<3 LPA,Yes,75%,1-3 hrs,1-2 hrs,Low,Middle,Yes
Yes,Male,CS,177,89,72,53,84,Reading,1-2 hrs,Night,5-8 LPA,No,50%,1-3 hrs,>2 hrs,Medium,Good,Yes
Yes,Female,Mechanical,189,65,92,94,89,Sports,1-2 hrs,Evening,<3 LPA,No,50%,3-5 hrs,<30 min,Medium,Good,No
Yes,Female,IT,150,67,71,94,60,Sports,>4 hrs,Evening,<3 LPA,Yes,50%,<1 hr,30-60 min,Low,Good,No
No,Male,Mechanical,156,67,75,50,70,Reading,2-4 hrs,Evening,<3 LPA,Yes,25%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Male,CS,179,61,68,68,76,Gaming,1-2 hrs,Evening,<3 LPA,Yes,75%,3-5 hrs,<30 min,Medium,Poor,No
Yes,Male,CS,189,76,81,80,62,Reading,2-4 hrs,Morning,3-5 LPA,Yes,75%,3-5 hrs,<30 min,High,Good,No
No,Female,ENTC,171,64,64,70,74,Gaming,>4 hrs,Morning,<3 LPA,Yes,75%,>5 hrs,30-60 min,Medium,Poor,Yes
Yes,Male,Mechanical,161,89,76,76,68,Sports,<1 hr,Evening,<3 LPA,Yes,75%,>5 hrs,1-2 hrs,High,Poor,No
No,Male,CS,162,79,81,60,78,Travelling,<1 hr,Morning,<3 LPA,No,100%,1-3 hrs,<30 min,Medium,Poor,No
Yes,Female,IT,167,66,69,74,87,Gaming,1-2 hrs,Morning,3-5 LPA,Yes,50%,>5 hrs,<30 min,Low,Good,No
No,Male,Mechanical,173,45,81,53,63,Travelling,1-2 hrs,Night,<3 LPA,Yes,75%,1-3 hrs,30-60 min,Low,Good,Yes
Yes,Male,CS,151,45,57,84,66,Gaming,1-2 hrs,Morning,5-8 LPA,Yes,25%,<1 hr,<30 min,Low,Middle,No
Yes,Female,CS,180,82,76,79,68,Travelling,2-4 hrs,Night,5-8 LPA,Yes,75%,<1 hr,1-2 hrs,High,Poor,No
No,Female,Mechanical,164,70,79,61,67,Gaming,<1 hr,Night,5-8 LPA,Yes,100%,1-3 hrs,30-60 min,High,Middle,No
No,Female,CS,159,72,83,72,74,Sports,1-2 hrs,Night,>8 LPA,Yes,75%,<1 hr,>2 hrs,High,Poor,No
Yes,Male,Mechanical,162,89,73,72,89,Travelling,<1 hr,Night,5-8 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Poor,No
No,Female,ENTC,167,78,62,65,89,Reading,2-4 hrs,Morning,>8 LPA,Yes,25%,>5 hrs,30-60 min,Low,Middle,No
Yes,Female,ENTC,154,63,57,76,76,Reading,2-4 hrs,Evening,3-5 LPA,Yes,100%,1-3 hrs,<30 min,Medium,Good,No
Yes,Male,ENTC,162,69,77,62,84,Music,<1 hr,Morning,3-5 LPA,No,75%,<1 hr,30-60 min,Medium,Good,No
No,Female,Civil,185,63,76,89,66,Music,<1 hr,Evening,3-5 LPA,Yes,25%,1-3 hrs,1-2 hrs,Low,Middle,Yes
No,Male,CS,168,74,65,72,65,Sports,>4 hrs,Night,3-5 LPA,Yes,50%,3-5 hrs,1-2 hrs,High,Good,No
Yes,Male,Mechanical,166,57,84,76,89,Reading,>4 hrs,Night,>8 LPA,Yes,100%,3-5 hrs,1-2 hrs,Low,Good,Yes
Yes,Male,ENTC,173,50,75,58,77,Music,>4 hrs,Evening,<3 LPA,Yes,75%,1-3 hrs,<30 min,Low,Middle,No
No,Female,CS,174,73,75,63,76,Music,2-4 hrs,Evening,3-5 LPA,Yes,25%,<1 hr,<30 min,Medium,Poor,No
Yes,Female,Mechanical,189,69,82,68,75,Travelling,2-4 hrs,Evening,5-8 LPA,Yes,100%,<1 hr,<30 min,Medium,Middle,Yes
Yes,Male,CS,168,50,75,84,84,Reading,1-2 hrs,Night,<3 LPA,No,100%,1-3 hrs,30-60 min,Medium,Good,Yes
Yes,Male,ENTC,173,52,69,78,77,Reading,2-4 hrs,Night,<3 LPA,Yes,100%,<1 hr,30-60 min,Medium,Middle,No
Yes,Female,CS,163,60,73,94,79,Sports,2-4 hrs,Evening,<3 LPA,No,75%,1-3 hrs,30-60 min,Medium,Good,No
Yes,Male,IT,175,59,79,68,60,Music,1-2 hrs,Evening,3-5 LPA,Yes,75%,<1 hr,30-60 min,Medium,Middle,Yes
No,Female,Mechanical,176,73,86,84,65,Gaming,<1 hr,Evening,>8 LPA,Yes,50%,1-3 hrs,>2 hrs,Low,Middle,Yes
Yes,Female,CS,167,75,69,66,74,Gaming,2-4 hrs,Night,3-5 LPA,Yes,75%,<1 hr,1-2 hrs,Low,Middle,No
No,Male,CS,186,81,74,70,71,Gaming,<1 hr,Night,<3 LPA,Yes,75%,1-3 hrs,1-2 hrs,Medium,Good,No
Yes,Male,Mechanical,161,57,66,81,69,Sports,2-4 hrs,Morning,5-8 LPA,Yes,75%,3-5 hrs,1-2 hrs,Low,Middle,No
Yes,Female,Mechanical,184,76,83,61,62,Gaming,<1 hr,Morning,3-5 LPA,Yes,25%,3-5 hrs,>2 hrs,Medium,Middle,No
No,Female,CS,173,63,81,73,76,Travelling,1-2 hrs,Night,5-8 LPA,Yes,25%,3-5 hrs,<30 min,Medium,Good,No
No,Female,Civil,170,58,81,73,78,Music,1-2 hrs,Evening,<3 LPA,No,75%,1-3 hrs,30-60 min,High,Middle,Yes
Yes,Male,CS,180,73,87,57,79,Gaming,2-4 hrs,Morning,>8 LPA,Yes,50%,1-3 hrs,<30 min,High,Middle,Yes
No,Male,Civil,178,71,86,75,81,Reading,<1 hr,Night,3-5 LPA,Yes,25%,>5 hrs,1-2 hrs,Low,Middle,Yes
Yes,Female,Mechanical,173,46,65,74,78,Music,2-4 hrs,Morning,<3 LPA,No,50%,1-3 hrs,1-2 hrs,High,Good,No
No,Male,IT,150,51,62,55,65,Reading,1-2 hrs,Morning,3-5 LPA,Yes,25%,1-3 hrs,1-2 hrs,High,Good,Yes
Yes,Male,Mechanical,175,74,85,86,89,Music,2-4 hrs,Evening,>8 LPA,Yes,50%,<1 hr,1-2 hrs,Medium,Middle,No
No,Female,Mechanical,150,62,85,69,84,Gaming,1-2 hrs,Evening,5-8 LPA,Yes,50%,1-3 hrs,30-60 min,High,Good,No
No,Female,IT,166,82,85,88,83,Gaming,<1 hr,Evening,3-5 LPA,Yes,75%,>5 hrs,30-60 min,Medium,Good,No
Yes,Male,Mechanical,177,70,70,90,67,Gaming,>4 hrs,Night,3-5 LPA,Yes,100%,<1 hr,<30 min,High,Middle,No
Yes,Male,CS,172,55,63,77,75,Travelling,1-2 hrs,Morning,<3 LPA,No,75%,1-3 hrs,30-60 min,High,Poor,Yes
Yes,Male,Mechanical,173,79,94,94,67,Gaming,2-4 hrs,Night,5-8 LPA,Yes,50%,1-3 hrs,1-2 hrs,High,Good,No
Yes,Male,IT,185,50,64,50,73,Reading,1-2 hrs,Morning,3-5 LPA,Yes,75%,3-5 hrs,30-60 min,Medium,Middle,Yes
Yes,Male,ENTC,167,69,85,88,86,Music,<1 hr,Morning,>8 LPA,Yes,50%,>5 hrs,<30 min,Medium,Good,No
Yes,Male,Mechanical,168,57,75,50,67,Travelling,1-2 hrs,Morning,5-8 LPA,No,75%,>5 hrs,<30 min,Low,Middle,No
Yes,Male,Civil,180,57,93,50,70,Sports,1-2 hrs,Morning,3-5 LPA,Yes,75%,<1 hr,<30 min,Medium,Good,No
Yes,Male,ENTC,167,89,87,71,60,Sports,2-4 hrs,Evening,5-8 LPA,Yes,75%,<1 hr,<30 min,Low,Middle,No
Yes,Male,CS,179,59,75,69,81,Sports,2-4 hrs,Night,>8 LPA,Yes,25%,>5 hrs,<30 min,Medium,Middle,No
No,Male,IT,183,51,58,64,84,Reading,1-2 hrs,Night,5-8 LPA,Yes,100%,1-3 hrs,>2 hrs,Medium,Middle,Yes
Yes,Male,CS,166,71,72,74,88,Travelling,1-2 hrs,Night,5-8 LPA,Yes,50%,<1 hr,>2 hrs,Medium,Good,No
Yes,Male,CS,187,77,84,66,60,Travelling,1-2 hrs,Night,<3 LPA,Yes,50%,>5 hrs,<30 min,Medium,Middle,Yes
Yes,Male,IT,168,85,70,81,75,Sports,<1 hr,Morning,3-5 LPA,No,25%,3-5 hrs,1-2 hrs,Low,Good,Yes
No,Male,IT,165,58,65,87,85,Sports,<1 hr,Morning,<3 LPA,Yes,100%,1-3 hrs,1-2 hrs,High,Middle,No
Yes,Female,CS,168,68,55,66,81,Reading,>4 hrs,Evening,>8 LPA,Yes,25%,<1 hr,<30 min,Medium,Middle,No
No,Male,Civil,186,55,70,66,75,Gaming,>4 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,Medium,Middle,No
No,Male,Mechanical,170,78,85,82,66,Reading,1-2 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Female,Civil,160,72,64,94,63,Reading,1-2 hrs,Night,<3 LPA,Yes,75%,3-5 hrs,30-60 min,Low,Good,No
Yes,Male,ENTC,163,56,55,82,60,Travelling,<1 hr,Morning,3-5 LPA,Yes,100%,3-5 hrs,<30 min,Low,Poor,No
Yes,Male,CS,180,52,89,53,80,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,100%,1-3 hrs,1-2 hrs,Medium,Middle,No
Yes,Male,ENTC,189,89,73,82,74,Reading,<1 hr,Night,<3 LPA,Yes,100%,3-5 hrs,1-2 hrs,Low,Middle,Yes
Yes,Male,IT,176,76,74,63,87,Gaming,2-4 hrs,Morning,5-8 LPA,Yes,75%,<1 hr,<30 min,High,Middle,No
Yes,Female,CS,172,66,73,56,71,Gaming,>4 hrs,Morning,3-5 LPA,Yes,100%,<1 hr,30-60 min,High,Good,Yes
No,Female,CS,154,59,94,65,78,Music,<1 hr,Morning,<3 LPA,No,75%,<1 hr,>2 hrs,Medium,Poor,No
Yes,Male,IT,186,61,56,85,69,Reading,1-2 hrs,Night,<3 LPA,No,100%,<1 hr,30-60 min,Medium,Poor,No
Yes,Male,CS,187,50,68,63,83,Gaming,<1 hr,Evening,5-8 LPA,Yes,100%,3-5 hrs,30-60 min,Low,Middle,Yes
Yes,Male,CS,166,73,69,82,83,Reading,2-4 hrs,Night,3-5 LPA,Yes,75%,3-5 hrs,1-2 hrs,Low,Middle,No
Yes,Male,IT,180,51,83,66,80,Sports,2-4 hrs,Evening,3-5 LPA,No,75%,1-3 hrs,<30 min,High,Poor,No
Yes,Female,Mechanical,170,85,60,71,75,Reading,<1 hr,Morning,3-5 LPA,No,25%,3-5 hrs,30-60 min,Low,Middle,No
Yes,Male,CS,185,61,70,62,72,Gaming,2-4 hrs,Morning,<3 LPA,Yes,75%,1-3 hrs,30-60 min,High,Middle,No
Yes,Male,ENTC,183,71,55,74,65,Reading,2-4 hrs,Morning,3-5 LPA,No,50%,1-3 hrs,30-60 min,High,Middle,Yes
No,Female,Civil,155,59,80,50,71,Music,>4 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,<30 min,High,Good,No
Yes,Female,Mechanical,163,50,61,81,61,Reading,1-2 hrs,Morning,<3 LPA,Yes,100%,<1 hr,30-60 min,High,Middle,No
Yes,Male,CS,165,77,82,89,76,Travelling,1-2 hrs,Evening,<3 LPA,Yes,50%,1-3 hrs,30-60 min,High,Poor,No
Yes,Male,Mechanical,153,78,86,87,79,Travelling,>4 hrs,Evening,5-8 LPA,Yes,50%,1-3 hrs,30-60 min,High,Good,No
Yes,Female,CS,186,56,80,78,78,Sports,1-2 hrs,Morning,>8 LPA,Yes,75%,>5 hrs,<30 min,Medium,Good,No
Yes,Female,IT,171,78,67,71,81,Gaming,1-2 hrs,Morning,3-5 LPA,Yes,50%,3-5 hrs,>2 hrs,High,Good,No
No,Male,ENTC,154,58,84,86,66,Travelling,1-2 hrs,Evening,>8 LPA,Yes,100%,1-3 hrs,>2 hrs,Medium,Good,Yes
Yes,Female,IT,174,70,62,54,74,Reading,2-4 hrs,Night,<3 LPA,Yes,50%,1-3 hrs,<30 min,Low,Good,Yes
Yes,Male,CS,158,72,72,65,89,Gaming,>4 hrs,Evening,3-5 LPA,Yes,25%,>5 hrs,<30 min,Medium,Poor,No
Yes,Male,ENTC,180,50,55,51,63,Reading,>4 hrs,Morning,5-8 LPA,Yes,75%,3-5 hrs,<30 min,High,Middle,No
Yes,Male,IT,150,72,63,66,83,Gaming,>4 hrs,Evening,3-5 LPA,Yes,50%,3-5 hrs,1-2 hrs,High,Good,No
No,Female,CS,170,84,67,78,74,Travelling,2-4 hrs,Night,<3 LPA,No,50%,3-5 hrs,>2 hrs,High,Middle,Yes
Yes,Male,Mechanical,165,73,94,74,74,Gaming,2-4 hrs,Morning,<3 LPA,No,75%,1-3 hrs,<30 min,High,Middle,Yes
Yes,Female,ENTC,168,71,68,77,81,Music,1-2 hrs,Evening,5-8 LPA,No,75%,1-3 hrs,30-60 min,Low,Good,No
Yes,Male,CS,169,63,85,63,74,Travelling,2-4 hrs,Night,<3 LPA,No,100%,3-5 hrs,1-2 hrs,Low,Poor,Yes
Yes,Female,IT,174,77,70,62,66,Gaming,<1 hr,Morning,3-5 LPA,No,75%,<1 hr,<30 min,Medium,Middle,No
Yes,Male,Mechanical,188,63,76,78,73,Music,2-4 hrs,Morning,<3 LPA,No,75%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Male,IT,165,67,91,67,66,Gaming,2-4 hrs,Morning,5-8 LPA,No,75%,1-3 hrs,1-2 hrs,Low,Middle,No
Yes,Female,Mechanical,160,54,71,94,71,Sports,1-2 hrs,Night,3-5 LPA,No,75%,1-3 hrs,1-2 hrs,Medium,Poor,No
